Date,Close,Close_Past_1,Close_Past_2,Close_Past_3,Close_Past_4,Close_Past_5,Close_Past_6,Close_Past_7,Close_Past_8,Close_Past_9,Close_Past_10,Close_Past_11,Close_Past_12,Close_Past_13,Close_Past_14,Close_Past_15,Close_Past_16,Close_Past_17,Close_Past_18,Close_Past_19,Close_Past_20,Close_Past_21,Close_Past_22,Close_Past_23,Close_Past_24,Close_Past_25,Close_Past_26,Close_Past_27,Close_Past_28,Close_Past_29,Close_Past_30,Open,Open_Past_1,Open_Past_2,Open_Past_3,Open_Past_4,Open_Past_5,Open_Past_6,Open_Past_7,Open_Past_8,Open_Past_9,Open_Past_10,Open_Past_11,Open_Past_12,Open_Past_13,Open_Past_14,Open_Past_15,Open_Past_16,Open_Past_17,Open_Past_18,Open_Past_19,Open_Past_20,Open_Past_21,Open_Past_22,Open_Past_23,Open_Past_24,Open_Past_25,Open_Past_26,Open_Past_27,Open_Past_28,Open_Past_29,Open_Past_30,MonthTrend,negative,neutral,positive
2019-09-15,10276.7939453125,10347.712890625,10358.048828125,10360.546875,10410.126953125,10178.3720703125,10115.9755859375,10334.974609375,10441.2763671875,10517.2548828125,10353.302734375,10575.533203125,10594.4931640625,10623.5400390625,10346.7607421875,9757.970703125,9630.6640625,9598.173828125,9510.2001953125,9754.4228515625,10185.5,10370.8203125,10138.517578125,10159.9609375,10407.96484375,10131.0556640625,10138.0498046875,10763.232421875,10916.0537109375,10345.810546875,10231.744140625,10347.22265625,10356.4658203125,10345.4033203125,10415.3623046875,10176.8193359375,10123.03515625,10336.408203125,10443.228515625,10518.1142578125,10353.931640625,10578.1982421875,10588.18359375,10621.1806640625,10345.7255859375,9757.4736328125,9630.5927734375,9597.5390625,9514.8447265625,9756.7861328125,10203.4267578125,10372.826171875,10126.2998046875,10160.7373046875,10407.64453125,10136.3095703125,10142.521484375,10764.572265625,10916.3466796875,10350.283203125,10233.005859375,10358.72265625,DOWN,0.02916763892129738,0.881429380979366,0.08940298009933667
2019-09-16,10241.2724609375,10276.7939453125,10347.712890625,10358.048828125,10360.546875,10410.126953125,10178.3720703125,10115.9755859375,10334.974609375,10441.2763671875,10517.2548828125,10353.302734375,10575.533203125,10594.4931640625,10623.5400390625,10346.7607421875,9757.970703125,9630.6640625,9598.173828125,9510.2001953125,9754.4228515625,10185.5,10370.8203125,10138.517578125,10159.9609375,10407.96484375,10131.0556640625,10138.0498046875,10763.232421875,10916.0537109375,10345.810546875,10281.513671875,10347.22265625,10356.4658203125,10345.4033203125,10415.3623046875,10176.8193359375,10123.03515625,10336.408203125,10443.228515625,10518.1142578125,10353.931640625,10578.1982421875,10588.18359375,10621.1806640625,10345.7255859375,9757.4736328125,9630.5927734375,9597.5390625,9514.8447265625,9756.7861328125,10203.4267578125,10372.826171875,10126.2998046875,10160.7373046875,10407.64453125,10136.3095703125,10142.521484375,10764.572265625,10916.3466796875,10350.283203125,10233.005859375,DOWN,0.0371,0.8940666666666667,0.06883333333333333
2019-09-17,10198.248046875,10241.2724609375,10276.7939453125,10347.712890625,10358.048828125,10360.546875,10410.126953125,10178.3720703125,10115.9755859375,10334.974609375,10441.2763671875,10517.2548828125,10353.302734375,10575.533203125,10594.4931640625,10623.5400390625,10346.7607421875,9757.970703125,9630.6640625,9598.173828125,9510.2001953125,9754.4228515625,10185.5,10370.8203125,10138.517578125,10159.9609375,10407.96484375,10131.0556640625,10138.0498046875,10763.232421875,10916.0537109375,10247.7958984375,10281.513671875,10347.22265625,10356.4658203125,10345.4033203125,10415.3623046875,10176.8193359375,10123.03515625,10336.408203125,10443.228515625,10518.1142578125,10353.931640625,10578.1982421875,10588.18359375,10621.1806640625,10345.7255859375,9757.4736328125,9630.5927734375,9597.5390625,9514.8447265625,9756.7861328125,10203.4267578125,10372.826171875,10126.2998046875,10160.7373046875,10407.64453125,10136.3095703125,10142.521484375,10764.572265625,10916.3466796875,10350.283203125,DOWN,0.029833333333333333,0.8956999999999999,0.07446666666666667
2019-09-18,10266.4150390625,10198.248046875,10241.2724609375,10276.7939453125,10347.712890625,10358.048828125,10360.546875,10410.126953125,10178.3720703125,10115.9755859375,10334.974609375,10441.2763671875,10517.2548828125,10353.302734375,10575.533203125,10594.4931640625,10623.5400390625,10346.7607421875,9757.970703125,9630.6640625,9598.173828125,9510.2001953125,9754.4228515625,10185.5,10370.8203125,10138.517578125,10159.9609375,10407.96484375,10131.0556640625,10138.0498046875,10763.232421875,10200.49609375,10247.7958984375,10281.513671875,10347.22265625,10356.4658203125,10345.4033203125,10415.3623046875,10176.8193359375,10123.03515625,10336.408203125,10443.228515625,10518.1142578125,10353.931640625,10578.1982421875,10588.18359375,10621.1806640625,10345.7255859375,9757.4736328125,9630.5927734375,9597.5390625,9514.8447265625,9756.7861328125,10203.4267578125,10372.826171875,10126.2998046875,10160.7373046875,10407.64453125,10136.3095703125,10142.521484375,10764.572265625,10916.3466796875,DOWN,0.04200000000000001,0.8363999999999999,0.1216
2019-09-19,10181.6416015625,10266.4150390625,10198.248046875,10241.2724609375,10276.7939453125,10347.712890625,10358.048828125,10360.546875,10410.126953125,10178.3720703125,10115.9755859375,10334.974609375,10441.2763671875,10517.2548828125,10353.302734375,10575.533203125,10594.4931640625,10623.5400390625,10346.7607421875,9757.970703125,9630.6640625,9598.173828125,9510.2001953125,9754.4228515625,10185.5,10370.8203125,10138.517578125,10159.9609375,10407.96484375,10131.0556640625,10138.0498046875,10266.318359375,10200.49609375,10247.7958984375,10281.513671875,10347.22265625,10356.4658203125,10345.4033203125,10415.3623046875,10176.8193359375,10123.03515625,10336.408203125,10443.228515625,10518.1142578125,10353.931640625,10578.1982421875,10588.18359375,10621.1806640625,10345.7255859375,9757.4736328125,9630.5927734375,9597.5390625,9514.8447265625,9756.7861328125,10203.4267578125,10372.826171875,10126.2998046875,10160.7373046875,10407.64453125,10136.3095703125,10142.521484375,10764.572265625,UP,0.037569171278085206,0.8560237349156611,0.10640709380625378
2019-09-20,10019.716796875,10181.6416015625,10266.4150390625,10198.248046875,10241.2724609375,10276.7939453125,10347.712890625,10358.048828125,10360.546875,10410.126953125,10178.3720703125,10115.9755859375,10334.974609375,10441.2763671875,10517.2548828125,10353.302734375,10575.533203125,10594.4931640625,10623.5400390625,10346.7607421875,9757.970703125,9630.6640625,9598.173828125,9510.2001953125,9754.4228515625,10185.5,10370.8203125,10138.517578125,10159.9609375,10407.96484375,10131.0556640625,10183.6484375,10266.318359375,10200.49609375,10247.7958984375,10281.513671875,10347.22265625,10356.4658203125,10345.4033203125,10415.3623046875,10176.8193359375,10123.03515625,10336.408203125,10443.228515625,10518.1142578125,10353.931640625,10578.1982421875,10588.18359375,10621.1806640625,10345.7255859375,9757.4736328125,9630.5927734375,9597.5390625,9514.8447265625,9756.7861328125,10203.4267578125,10372.826171875,10126.2998046875,10160.7373046875,10407.64453125,10136.3095703125,10142.521484375,DOWN,0.030300000000000004,0.8913,0.07840000000000003
2019-09-21,10070.392578125,10019.716796875,10181.6416015625,10266.4150390625,10198.248046875,10241.2724609375,10276.7939453125,10347.712890625,10358.048828125,10360.546875,10410.126953125,10178.3720703125,10115.9755859375,10334.974609375,10441.2763671875,10517.2548828125,10353.302734375,10575.533203125,10594.4931640625,10623.5400390625,10346.7607421875,9757.970703125,9630.6640625,9598.173828125,9510.2001953125,9754.4228515625,10185.5,10370.8203125,10138.517578125,10159.9609375,10407.96484375,10024.115234375,10183.6484375,10266.318359375,10200.49609375,10247.7958984375,10281.513671875,10347.22265625,10356.4658203125,10345.4033203125,10415.3623046875,10176.8193359375,10123.03515625,10336.408203125,10443.228515625,10518.1142578125,10353.931640625,10578.1982421875,10588.18359375,10621.1806640625,10345.7255859375,9757.4736328125,9630.5927734375,9597.5390625,9514.8447265625,9756.7861328125,10203.4267578125,10372.826171875,10126.2998046875,10160.7373046875,10407.64453125,10136.3095703125,DOWN,0.04766666666666666,0.8606999999999999,0.09163333333333336
2019-09-22,9729.32421875,10070.392578125,10019.716796875,10181.6416015625,10266.4150390625,10198.248046875,10241.2724609375,10276.7939453125,10347.712890625,10358.048828125,10360.546875,10410.126953125,10178.3720703125,10115.9755859375,10334.974609375,10441.2763671875,10517.2548828125,10353.302734375,10575.533203125,10594.4931640625,10623.5400390625,10346.7607421875,9757.970703125,9630.6640625,9598.173828125,9510.2001953125,9754.4228515625,10185.5,10370.8203125,10138.517578125,10159.9609375,10067.962890625,10024.115234375,10183.6484375,10266.318359375,10200.49609375,10247.7958984375,10281.513671875,10347.22265625,10356.4658203125,10345.4033203125,10415.3623046875,10176.8193359375,10123.03515625,10336.408203125,10443.228515625,10518.1142578125,10353.931640625,10578.1982421875,10588.18359375,10621.1806640625,10345.7255859375,9757.4736328125,9630.5927734375,9597.5390625,9514.8447265625,9756.7861328125,10203.4267578125,10372.826171875,10126.2998046875,10160.7373046875,10407.64453125,UP,0.036167872262408744,0.8618620620687356,0.10197006566885564
2019-09-23,8620.56640625,9729.32421875,10070.392578125,10019.716796875,10181.6416015625,10266.4150390625,10198.248046875,10241.2724609375,10276.7939453125,10347.712890625,10358.048828125,10360.546875,10410.126953125,10178.3720703125,10115.9755859375,10334.974609375,10441.2763671875,10517.2548828125,10353.302734375,10575.533203125,10594.4931640625,10623.5400390625,10346.7607421875,9757.970703125,9630.6640625,9598.173828125,9510.2001953125,9754.4228515625,10185.5,10370.8203125,10138.517578125,9729.3212890625,10067.962890625,10024.115234375,10183.6484375,10266.318359375,10200.49609375,10247.7958984375,10281.513671875,10347.22265625,10356.4658203125,10345.4033203125,10415.3623046875,10176.8193359375,10123.03515625,10336.408203125,10443.228515625,10518.1142578125,10353.931640625,10578.1982421875,10588.18359375,10621.1806640625,10345.7255859375,9757.4736328125,9630.5927734375,9597.5390625,9514.8447265625,9756.7861328125,10203.4267578125,10372.826171875,10126.2998046875,10160.7373046875,DOWN,0.03613453781792727,0.8858295276509217,0.07803593453115103
2019-09-24,8486.9931640625,8620.56640625,9729.32421875,10070.392578125,10019.716796875,10181.6416015625,10266.4150390625,10198.248046875,10241.2724609375,10276.7939453125,10347.712890625,10358.048828125,10360.546875,10410.126953125,10178.3720703125,10115.9755859375,10334.974609375,10441.2763671875,10517.2548828125,10353.302734375,10575.533203125,10594.4931640625,10623.5400390625,10346.7607421875,9757.970703125,9630.6640625,9598.173828125,9510.2001953125,9754.4228515625,10185.5,10370.8203125,8603.4287109375,9729.3212890625,10067.962890625,10024.115234375,10183.6484375,10266.318359375,10200.49609375,10247.7958984375,10281.513671875,10347.22265625,10356.4658203125,10345.4033203125,10415.3623046875,10176.8193359375,10123.03515625,10336.408203125,10443.228515625,10518.1142578125,10353.931640625,10578.1982421875,10588.18359375,10621.1806640625,10345.7255859375,9757.4736328125,9630.5927734375,9597.5390625,9514.8447265625,9756.7861328125,10203.4267578125,10372.826171875,10126.2998046875,DOWN,0.05623333333333333,0.8963333333333332,0.04743333333333332
